N°;X;circumf;Dh;Dv;L;decay;direction;trunk;hollow;date;plot;square;transect;angle;start
1;51,1;0;18;25;0,9;5;280;0;0;10/03/2018;2 Est;305;1;26,5;SO
2;51,5;0;13;18;1;4;250;0;0;10/03/2018;2 Est;305;1;26,5;SO
1;24,5;0;0;10;3,5;5;330;1;0;10/03/2018;2 Est;305;2;296,5;SE
2;51;0;16;16;8;3;90;1;0;10/03/2018;2 Est;305;2;296,5;SE
3;80;0;12;12;7,4;2;240;1;0;10/03/2018;2 Est;305;2;296,5;SE
1;14;0;0;49;4;5;250;0;0;10/03/2018;2 Est;305;3;206,5;NE
2;35;0;28;24;10;3;240;1;0;10/03/2018;2 Est;305;3;206,5;NE
3;42;0;0;42;8;5;210;1;0;10/03/2018;2 Est;305;3;206,5;NE
4;63,5;0;0;23;12;5;280;1;0;10/03/2018;2 Est;305;3;206,5;NE
5;75;0;13;13;8,5;2;240;1;0;10/03/2018;2 Est;305;3;206,5;NE
6;90;0;0;36;4;5;310;1;0;10/03/2018;2 Est;305;3;206,5;NE
1;15;0;53;53;7;5;30;1;0;10/03/2018;2 Est;305;4;116,5;NO
2;36;0;0;28;3;5;150;1;0;10/03/2018;2 Est;305;4;116,5;NO
3;42;0;0;19;0,67;5;160;0;0;10/03/2018;2 Est;305;4;116,5;NO
