DATE;PARCELLE;CARRE;NUMERO;NOM VERNACULAIRE ;GENRE;ESPECE;HAUTEUR;DBH;PLACEAU
02/03/2018;1 ouest;114;1;Mougamba;Dichostemma;glaucescens;5,5;3,4;1
02/03/2018;1 ouest;114;2;Ebene;Diospyros;bipindensis;2,5;3;1
02/03/2018;1 ouest;114;3;Mokula;Microdesmis;puberula;3;3,7;1
02/03/2018;1 ouest;114;4;Mokula;Microdesmis;puberula;2,2;1,5;1
02/03/2018;1 ouest;114;5;Mokula;Microdesmis;puberula;2,5;2,5;1
02/03/2018;1 ouest;114;6;Mokula;Microdesmis;puberula;2,3;1,6;1
02/03/2018;1 ouest;114;7;Motunga;Polyalthia;suaveolens;9;5,5;1
02/03/2018;1 ouest;114;8;Mokula;Microdesmis;puberula;2,3;1,7;1
02/03/2018;1 ouest;114;9;Ingoka;Thomandersia;hensii;4;2,3;1
02/03/2018;1 ouest;114;10;Ingoka;Thomandersia;hensii;4;6;1
02/03/2018;1 ouest;114;11;Ingoyo;Pancovia;laurentii;6;9,2;1
02/03/2018;1 ouest;114;12;Ebene;Diospyros;iturensis;3;2,2;1
02/03/2018;1 ouest;114;13;Osomzo;Trilepisium;madagascariensis;3,5;2,5;1
02/03/2018;1 ouest;114;14;Etua;tabernaemonthana;penduliflora;5;5;1
02/03/2018;1 ouest;114;15;Ebene;Diospyros;iturensis;3;1,2;1
02/03/2018;1 ouest;114;16;Essandja;Rinorea;cf.welwitschii;4;2,3;1
02/03/2018;1 ouest;114;17;Ingoka;Thomandersia;hensii;5;3,8;1
02/03/2018;1 ouest;114;18;Ingoka;Thomandersia;hensii;5;5,1;1
02/03/2018;1 ouest;114;19;Ingoka;Thomandersia;hensii;3;1,7;1
02/03/2018;1 ouest;114;20;Ingoka;Thomandersia;hensii;3;1,1;1
02/03/2018;1 ouest;114;21;Essandja;Rinorea;cf.welwitschii;3,1;1,7;1
02/03/2018;1 ouest;114;22;Essandja;Rinorea;cf.welwitschii;2,3;1,8;1
02/03/2018;1 ouest;114;23;Bossé claire;Laplaea;cedrata;6;2,7;1
02/03/2018;1 ouest;114;24;Mosseke;Cleistanthus;caudatus;4;2,1;1
02/03/2018;1 ouest;114;25;Ingoka;Thomandersia;hensii;5;4,9;1
02/03/2018;1 ouest;114;26;Ingoka;Thomandersia;hensii;3;2;1
02/03/2018;1 ouest;114;27;Ingoka;Thomandersia;hensii;3;1;1
02/03/2018;1 ouest;114;28;Essandja;Rinorea;cf.welwitschii;4;3,6;1
02/03/2018;1 ouest;114;29;Mougamba;Dichostemma;glaucescens;1,5;2,4;1
02/03/2018;1 ouest;114;30;Mougamba;Dichostemma;glaucescens;4;1,9;1
02/03/2018;1 ouest;114;31;Ebene;Diospyros;bipindensis;3,3;1,3;1
