DATE;PARCELLE;CARRE;NUMERO;NOM VERNACULAIRE;GENRE;ESPECE;HAUTEUR;DBH;PLACEAU
04/04/2018;1 OUEST;93;1;Drypetes;Drypetes;diopa;3,5;4;3
04/04/2018;1 OUEST;93;2;;Coffea;micrantha;3;1,1;3
04/04/2018;1 OUEST;93;3;Ebene;Diospyros;iturensis;3;1,4;3
04/04/2018;1 OUEST;93;4;Pancovia;Pancovia;harmsiana;2,9;1,6;3
04/04/2018;1 OUEST;93;5;Motunga;Polyalthia;suaveolens;3,7;2,7;3
04/04/2018;1 OUEST;93;6;Ebene;Diospyros;bipindensis;3,2;4,8;3
04/04/2018;1 OUEST;93;7;Etua;Tabernaemonthana;penduliflora;4;3,5;3
04/04/2018;1 OUEST;93;8;Ebene;Diospyros;iturensis;2,5;1,1;3
04/04/2018;1 OUEST;93;9;Manilkara;Manilkara;mabokeensis;7;7,2;3
04/04/2018;1 OUEST;93;10;Motunga;Polyalthia;suaveolens;3;1,9;3
04/04/2018;1 OUEST;93;11;Drypetes;Drypetes;capillipes;4;3,5;3
04/04/2018;1 OUEST;93;12a;Ingoka;Thomondersia;hensii;4;1,7;3
04/04/2018;1 OUEST;93;12b;Ingoka;Thomondersia;hensii;3;2;3
04/04/2018;1 OUEST;93;13;Ebene;Diospyros;iturensis;2,5;1,2;3
04/04/2018;1 OUEST;93;14;;Aidia;micrantha;3;2,3;3
04/04/2018;1 OUEST;93;15;Mokula;Microdesmis;puberula;2,4;1,2;3
04/04/2018;1 OUEST;93;16;Mossebe;Hunteria;ballayi;3;3,2;3
04/04/2018;1 OUEST;93;17;Moungamba;Dichostemma;glaucescens;4,5;5,1;3
04/04/2018;1 OUEST;93;18;Ebene;Diospyros;bipindensis;2,6;1,3;3
04/04/2018;1 OUEST;93;19;Chytranthus;Chytranthus;macrobotrys;2,5;1;3
04/04/2018;1 OUEST;93;20;Moungamba;Dichostemma;glaucescens;3;1,9;3
04/04/2018;1 OUEST;93;21;Scottellia;Scottellia;klaineana;4,6;4,7;3
04/04/2018;1 OUEST;93;22;Drypetes;Drypetes;cinnabarina;4,3;4;3
04/04/2018;1 OUEST;93;23;Manilkara;Manilkara;mabokeensis;2,8;2,2;3
04/04/2018;1 OUEST;93;24;Mossebe;Hunteria;ballayi;1,9;1,2;3
04/04/2018;1 OUEST;93;25a;Ingoka;Thomondersia;hensii;4,5;3,9;3
04/04/2018;1 OUEST;93;25b;Ingoka;Thomondersia;hensii;3;2,1;3
04/04/2018;1 OUEST;93;26a;Manilkara;Manilkara;mabokeensis;4;3,5;3
04/04/2018;1 OUEST;93;26b;Manilkara;Manilkara;mabokeensis;2,5;2,2;3
04/04/2018;1 OUEST;93;27;Trichilia;Trichilia;gilgiana;5;4,6;3
04/04/2018;1 OUEST;93;28;Mossebe;Hunteria;ballayi;1,4;1,1;3
04/04/2018;1 OUEST;93;29;Ebene;Diospyros;bipindensis;3;1,7;3
04/04/2018;1 OUEST;93;30;Mossebe;Hunteria;ballayi;3;1,7;3
04/04/2018;1 OUEST;93;31;Moungamba;Dichostemma;glaucescens;2,1;1,4;3
04/04/2018;1 OUEST;93;32;Mokula;Microdesmis;puberula;2,5;1,1;3
04/04/2018;1 OUEST;93;33;Drypetes;Drypetes;cinnabarina;4,5;3;3
04/04/2018;1 OUEST;93;34;Drypetes;Drypetes;cinnabarina;5,5;4,9;3
04/04/2018;1 OUEST;93;35;;Campylospernum;densiflorum;2,4;1;3
04/04/2018;1 OUEST;93;36;Ebene;Diospyros;bipindensis;4,7;3,3;3
04/04/2018;1 OUEST;93;37;Ingoka;Thomondersia;hensii;3,5;2,7;3
04/04/2018;1 OUEST;93;38;Motunga;Polyalthia;suaveolens;3,5;2;3
04/04/2018;1 OUEST;93;39;Garcinia;Garcinia;punctata;5;2,8;3
04/04/2018;1 OUEST;93;40;Mossebe;Hunteria;ballayi;2,6;1,6;3
04/04/2018;1 OUEST;93;41;Ebene;Diospyros;bipindensis;4;3,5;3
04/04/2018;1 OUEST;93;42;;Rothmannia;longiflora;3,4;1,4;3
04/04/2018;1 OUEST;93;43;Ingoka;Thomondersia;hensii;2,8;2,3;3
04/04/2018;1 OUEST;93;44;Mossebe;Hunteria;ballayi;2,5;2,1;3
04/04/2018;1 OUEST;93;45;Mokula;Microdesmis;puberula;2,4;1,6;3
04/04/2018;1 OUEST;93;46a;Ingoka;Thomondersia;hensii;3,5;3,4;3
04/04/2018;1 OUEST;93;46b;Ingoka;Thomondersia;hensii;3;3,4;3
04/04/2018;1 OUEST;93;46c;Ingoka;Thomondersia;hensii;3,1;1,2;3
04/04/2018;1 OUEST;93;46d;Ingoka;Thomondersia;hensii;3;1,2;3
04/04/2018;1 OUEST;93;47;Akeul;Pausinystalia;macroceras;2,7;1,7;3
04/04/2018;1 OUEST;93;48;Drypetes;Drypetes;capillipes;4;3,1;3
04/04/2018;1 OUEST;93;49;Drypetes;Drypetes;diopa;4,1;2,3;3
04/04/2018;1 OUEST;93;50;Moungamba;Dichostemma;glaucescens;2,5;1,2;3
04/04/2018;1 OUEST;93;51;Akeul;Pausinystalia;macroceras;3,9;2,8;3
04/04/2018;1 OUEST;93;52;Etua;Tabernaemonthana;penduliflora;2,5;2,1;3
04/04/2018;1 OUEST;93;53;Scottellia;Scottellia;klaineana;6,8;8,2;3
04/04/2018;1 OUEST;93;54;Mossebe;Hunteria;ballayi;2,5;1,7;3
04/04/2018;1 OUEST;93;55;Drypetes;Drypetes;capillipes;2,7;1,4;3
04/04/2018;1 OUEST;93;56;Mossebe;Hunteria;ballayi;2,4;1,4;3
04/04/2018;1 OUEST;93;57;Synsepalum;Synsepalum;longecuneatum;3,2;3,1;3
04/04/2018;1 OUEST;93;58a;Ingoka;Thomondersia;hensii;3,5;4,7;3
04/04/2018;1 OUEST;93;58b;Ingoka;Thomondersia;hensii;2,5;1,3;3
04/04/2018;1 OUEST;93;59;Motunga;Polyalthia;suaveolens;3,7;2,4;3
04/04/2018;1 OUEST;93;60;Moungamba;Dichostemma;glaucescens;2,5;1,6;3
04/04/2018;1 OUEST;93;61;Garcinia;Garcinia;punctata;5,2;4,3;3
04/04/2018;1 OUEST;93;62a;Chytranthus;Chytranthus;mortehanii;2,5;1,2;3
04/04/2018;1 OUEST;93;62b;Chytranthus;Chytranthus;mortehanii;2,5;1,2;3
04/04/2018;1 OUEST;93;63;Moungamba;Dichostemma;glaucescens;3;2;3
04/04/2018;1 OUEST;93;64;Drypetes;Drypetes;bipindensis;4,5;2,8;3
04/04/2018;1 OUEST;93;65;Manilkara;Manilkara;mabokeensis;4,7;6,2;3
04/04/2018;1 OUEST;93;66;Motunga;Polyalthia;suaveolens;2,5;1,2;3
04/04/2018;1 OUEST;93;67;Mossebe;Hunteria;ballayi;1,9;1,2;3
04/04/2018;1 OUEST;93;68;Mokula;Microdesmis;puberula;2,5;1,1;3
04/04/2018;1 OUEST;93;69;Moungamba;Dichostemma;glaucescens;3;1,7;3
04/04/2018;1 OUEST;93;70a;Pancovia;Pancovia;harmsiana;3,8;2,7;3
04/04/2018;1 OUEST;93;70b;Pancovia;Pancovia;harmsiana;2,3;1,8;3
04/04/2018;1 OUEST;93;71;Drypetes;Drypetes;capillipes;2,6;2,2;3
04/04/2018;1 OUEST;93;72;Niove;Staudtia;kamerunensis var. gabonensis;3;1,5;3
04/04/2018;1 OUEST;93;73;Motunga;Polyalthia;suaveolens;6,5;4,8;3
04/04/2018;1 OUEST;93;74;Moungamba;Dichostemma;glaucescens;3;1,6;3
04/04/2018;1 OUEST;93;75a;Drypetes;Drypetes;capillipes;3,1;1,7;3
04/04/2018;1 OUEST;93;75b;Drypetes;Drypetes;capillipes;1,5;1,4;3
04/04/2018;1 OUEST;93;76;Niove;Staudtia;kamerunensis var. gabonensis;3;1,6;3
04/04/2018;1 OUEST;93;77;Kosipo;Entandrophragma;candollei;6;5,1;3
04/04/2018;1 OUEST;93;78;Pancovia;Pancovia;harmsiana;3,6;2,9;3
04/04/2018;1 OUEST;93;79;Mossebe;Hunteria;ballayi;2,6;2,2;3
04/04/2018;1 OUEST;93;80;Drypetes;Drypetes;diopa;2,5;3,4;3
04/04/2018;1 OUEST;93;81;Motunga;Polyalthia;suaveolens;4,9;4;3
04/04/2018;1 OUEST;93;82;Drypetes;Drypetes;diopa;4,5;3,5;3
04/04/2018;1 OUEST;93;83;Drypetes;Drypetes;cinnabarina;5;3,9;3
04/04/2018;1 OUEST;93;84;Motunga;Polyalthia;suaveolens;2,4;1,2;3
04/04/2018;1 OUEST;93;85;Etua;Tabernaemonthana;penduliflora;3;2,5;3
04/04/2018;1 OUEST;93;86;Mossebe;Hunteria;ballayi;2,5;1;3
04/04/2018;1 OUEST;93;87;Drypetes;Drypetes;capillipes;5,2;4,4;3
04/04/2018;1 OUEST;93;88;Moungamba;Dichostemma;glaucescens;3,2;1,8;3
04/04/2018;1 OUEST;93;89;;Heisteria;pavifolia;1,4;1,5;3
04/04/2018;1 OUEST;93;90;Ebene;Diospyros;bipindensis;4;3;3
04/04/2018;1 OUEST;93;91;Molindo;Massularia;acuminata;4;3,1;3
04/04/2018;1 OUEST;93;92;Pancovia;Pancovia;harmsiana;4,8;6,4;3
04/04/2018;1 OUEST;93;93;Mokula;Microdesmis;puberula;3,5;3;3
04/04/2018;1 OUEST;93;94;Ingoka;Thomondersia;hensii;4,5;4;3
04/04/2018;1 OUEST;93;95;Owong;Dialium;pachyphyllum;2,5;2,6;3
04/04/2018;1 OUEST;93;96;Owong;Dialium;pachyphyllum;2;1;3
04/04/2018;1 OUEST;93;97;Owong;Dialium;pachyphyllum;3;2,6;3
04/04/2018;1 OUEST;93;98;Motunga;Polyalthia;suaveolens;2,5;1,4;3
04/04/2018;1 OUEST;93;99;Drypetes;Drypetes;cinnabarina;3,7;3,1;3
04/04/2018;1 OUEST;93;100a;Ingoka;Thomondersia;hensii;3,5;2,6;3
04/04/2018;1 OUEST;93;100b;Ingoka;Thomondersia;hensii;2,5;2,2;3
04/04/2018;1 OUEST;93;100c;Ingoka;Thomondersia;hensii;2,6;1,4;3
04/04/2018;1 OUEST;93;100d;Ingoka;Thomondersia;hensii;2,4;1,3;3
04/04/2018;1 OUEST;93;101;Ebene;Diospyros;bipindensis;3;2,2;3
04/04/2018;1 OUEST;93;102;Mubala;Pentaclethra;macrophylla;2,5;1,3;3
04/04/2018;1 OUEST;93;103;Mossebe;Hunteria;ballayi;2,5;1,9;3
04/04/2018;1 OUEST;93;104;Mosseke;Cleistanthus;caudatus;5,2;2,6;3
04/04/2018;1 OUEST;93;105;Ingoka;Thomondersia;hensii;4;2,1;3
04/04/2018;1 OUEST;93;106;Ingoka;Thomondersia;hensii;4;4,5;3
04/04/2018;1 OUEST;93;107;Moungamba;Dichostemma;glaucescens;3,9;1,7;3
04/04/2018;1 OUEST;93;108;;Rothmannia;longiflora;2,3;1,1;3
04/04/2018;1 OUEST;93;109;Mokula;Microdesmis;puberula;3,4;2,2;3
04/04/2018;1 OUEST;93;110;Ebene;Diospyros;bipindensis;7,5;8,9;3
04/04/2018;1 OUEST;93;111;Ebene;Diospyros;bipindensis;5,3;4,2;3
04/04/2018;1 OUEST;93;112;Mokula;Microdesmis;puberula;3;1,4;3
04/04/2018;1 OUEST;93;113;Drypetes;Drypetes;cinnabarina;5,5;4,7;3
04/04/2018;1 OUEST;93;114;Niove;Staudtia;kamerunensis var. gabonensis;3,1;1,5;3
04/04/2018;1 OUEST;93;115;Drypetes;Drypetes;occidentalis;3;1,3;3
04/04/2018;1 OUEST;93;116;Pancovia;Pancovia;harmsiana;3,6;2;3
04/04/2018;1 OUEST;93;117;Moungamba;Dichostemma;glaucescens;3,6;1,7;3
04/04/2018;1 OUEST;93;118;Ebene;Diospyros;bipindensis;3,8;2,3;3
04/04/2018;1 OUEST;93;119;;Aidia;micrantha;4;1,6;3
04/04/2018;1 OUEST;93;120;Mossebe;Hunteria;ballayi;2,1;1,2;3
04/04/2018;1 OUEST;93;121;Drypetes;Drypetes;diopa;5,5;3,3;3
04/04/2018;1 OUEST;93;122;Millettia;Millettia;sanagana;3,5;2,4;3
04/04/2018;1 OUEST;93;123;Ebene;Diospyros;iturensis;3,5;2,2;3
04/04/2018;1 OUEST;93;124;Ebene;Diospyros;bipindensis;4;3;3
04/04/2018;1 OUEST;93;125;Moungamba;Dichostemma;glaucescens;5;5,1;3
04/04/2018;1 OUEST;93;126;Ebene;Diospyros;iturensis;6;5,5;3
04/04/2018;1 OUEST;93;127;Motunga;Polyalthia;suaveolens;7,5;7,9;3
04/04/2018;1 OUEST;93;128;Ingoka;Thomondersia;hensii;5;5,5;3
04/04/2018;1 OUEST;93;129;Ebene;Diospyros;bipindensis;3,5;2,2;3
04/04/2018;1 OUEST;93;130;Moungamba;Dichostemma;glaucescens;2,4;1;3
04/04/2018;1 OUEST;93;131;;Heisteria;pavifolia;2,7;1,3;3
04/04/2018;1 OUEST;93;132;Drypetes;Drypetes;cinnabarina;4;2,3;3
04/04/2018;1 OUEST;93;133;Drypetes;Drypetes;diopa;2,8;1,4;3
04/04/2018;1 OUEST;93;134a;Ingoka;Thomondersia;hensii;6;5,4;3
04/04/2018;1 OUEST;93;134b;Ingoka;Thomondersia;hensii;5;4,6;3
04/04/2018;1 OUEST;93;135;Dialium;Dialium;bipindensis;2;1,1;3
04/04/2018;1 OUEST;93;136;Motunga;Polyalthia;suaveolens;5,5;6;3
04/04/2018;1 OUEST;93;137;Baku;Ritchiea;aprevaliana;2,6;2,6;3
04/04/2018;1 OUEST;93;138;Synsepalum;Synsepalum;subcordatum;4,5;4,8;3
04/04/2018;1 OUEST;93;139;Drypetes;Drypetes;capillipes;4,1;3,4;3
04/04/2018;1 OUEST;93;140;Mossebe;Hunteria;ballayi;2,8;2;3
04/04/2018;1 OUEST;93;141;Ebene;Diospyros;bipindensis;3,5;2,3;3
04/04/2018;1 OUEST;93;142;Crabwood;Carapa;procera;3;1,1;3
04/04/2018;1 OUEST;93;143;Garcinia;Garcinia;smeathmannii;5;5,1;3
04/04/2018;1 OUEST;93;144;Mubala;Pentaclethra;macrophylla;2,9;1,3;3
04/04/2018;1 OUEST;93;145;Ebene;Diospyros;bipindensis;3,9;4,3;3
05/04/2018;1 OUEST;93;146;Pancovia;Pancovia;laurentii;3,5;3,1;3
05/04/2018;1 OUEST;93;147;Ilomba;Pycnanthus;angolensis;4,7;2,1;3
05/04/2018;1 OUEST;93;148;Moungamba;Dichostemma;glaucescens;4,1;3;3
05/04/2018;1 OUEST;93;149;Nom ozek;Quassia;silvestris;4;2,6;3
05/04/2018;1 OUEST;93;150;Moungamba;Dichostemma;glaucescens;3;1,1;3
05/04/2018;1 OUEST;93;151;Drypetes;Drypetes;iturensis;2,3;1,7;3
05/04/2018;1 OUEST;93;152;Etua;Tabernaemonthana;penduliflora;4;3;3
05/04/2018;1 OUEST;93;153;Ebene;Diospyros;bipindensis;4,9;9,1;3
05/04/2018;1 OUEST;93;154;Motunga;Polyalthia;suaveolens;2,7;1,2;3
05/04/2018;1 OUEST;93;155a;Mokula;Microdesmis;puberula;3,9;3,8;3
05/04/2018;1 OUEST;93;155b;Mokula;Microdesmis;puberula;3;1,1;3
05/04/2018;1 OUEST;93;156;Drypetes;Drypetes;iturensis;2;1;3
05/04/2018;1 OUEST;93;157;Moungamba;Dichostemma;glaucescens;4;2,9;3
05/04/2018;1 OUEST;93;158;Motunga;Polyalthia;suaveolens;2,7;1,9;3
05/04/2018;1 OUEST;93;159a;Mokula;Microdesmis;puberula;3,5;4;3
05/04/2018;1 OUEST;93;159b;Mokula;Microdesmis;puberula;2,5;3,2;3
05/04/2018;1 OUEST;93;160;Ebene;Diospyros;bipindensis;3;1,8;3
05/04/2018;1 OUEST;93;161;Drypetes;Drypetes;leonensis;2,8;1,5;3
05/04/2018;1 OUEST;93;162;Garcinia;Garcinia;smeathmannii;3,5;1,6;3
05/04/2018;1 OUEST;93;163;Ndiembe;Afrostyrax;lepidophyllus;2,1;1,5;3
05/04/2018;1 OUEST;93;164;Mokula;Microdesmis;puberula;3;1,7;3
05/04/2018;1 OUEST;93;165;Ebene;Diospyros;bipindensis;4;9,5;3
05/04/2018;1 OUEST;93;166;Essandja;Rinorea;cf welwitschii;2,7;1,3;3
05/04/2018;1 OUEST;93;167;Essandja;Rinorea;cf welwitschii;2,6;1,3;3
05/04/2018;1 OUEST;93;168;Essandja;Rinorea;cf welwitschii;2,4;1;3
05/04/2018;1 OUEST;93;169;Essandja;Rinorea;cf welwitschii;3;2;3
05/04/2018;1 OUEST;93;170;Essandja;Rinorea;cf welwitschii;3,2;2;3
05/04/2018;1 OUEST;93;171;Ingoka;Thomondersia;hensii;4,5;5,4;3
05/04/2018;1 OUEST;93;172;Essandja;Rinorea;cf welwitschii;3,5;2,6;3
05/04/2018;1 OUEST;93;173;Essandja;Rinorea;cf welwitschii;3,3;1,6;3
05/04/2018;1 OUEST;93;174;Essandja;Rinorea;cf welwitschii;3,5;1,9;3
05/04/2018;1 OUEST;93;175;Essandja;Rinorea;cf welwitschii;3,7;2,7;3
05/04/2018;1 OUEST;93;176;Essandja;Rinorea;cf welwitschii;4,2;4,3;3
05/04/2018;1 OUEST;93;177;Mokula;Microdesmis;puberula;4,7;6,3;3
05/04/2018;1 OUEST;93;178;Essandja;Rinorea;cf welwitschii;4;3,5;3
05/04/2018;1 OUEST;93;179;Scottellia;Scottellia;klaineana;2,8;1,8;3
05/04/2018;1 OUEST;93;180;Essandja;Rinorea;cf welwitschii;3;1,6;3
05/04/2018;1 OUEST;93;181a;Mokula;Microdesmis;puberula;4;5,5;3
05/04/2018;1 OUEST;93;181b;Mokula;Microdesmis;puberula;5;2,5;3
05/04/2018;1 OUEST;93;182;Moungamba;Dichostemma;glaucescens;2,4;1;3
05/04/2018;1 OUEST;93;183;Essandja;Rinorea;cf welwitschii;2,9;1,4;3
05/04/2018;1 OUEST;93;184;Essandja;Rinorea;cf welwitschii;2,3;2,6;3
05/04/2018;1 OUEST;93;185;Essandja;Rinorea;cf welwitschii;3;2,3;3
05/04/2018;1 OUEST;93;186;Essandja;Rinorea;cf welwitschii;4,5;2,8;3
05/04/2018;1 OUEST;93;187;Drypetes;Drypetes;diopa;6;7;3
05/04/2018;1 OUEST;93;188a;Moungamba;Dichostemma;glaucescens;4;1,9;3
05/04/2018;1 OUEST;93;188b;Moungamba;Dichostemma;glaucescens;2,4;1,1;3
05/04/2018;1 OUEST;93;189;Akeul;Pausinystalia;macroceras;8;9,5;3
05/04/2018;1 OUEST;93;190;Moungamba;Dichostemma;glaucescens;3,9;2,2;3
05/04/2018;1 OUEST;93;191;Drypetes;Drypetes;capillipes;2,5;1,3;3
05/04/2018;1 OUEST;93;192;Ebetie;Diospyros;bipindensis;2,5;1,5;3
05/04/2018;1 OUEST;93;193;Ebetie;Diospyros;bipindensis;3,7;2;3
