DATE;PARCELLE;CARRE;NUMERO;NOM VERNACULAIRE;GENRE;ESPECE;HAUTEUR;DBH;PLACEAU;
06/03/2018;2 ouest;198;1;Drypetes;Drypetes;leonensis;3,5;1,7;1;
06/03/2018;2 ouest;198;2;Moungamba;Dichostemma;glauscescens;4;1,4;1;
06/03/2018;2 ouest;198;3;Mossebe;Hunteria;ballayi;1,6;1,1;1;
06/03/2018;2 ouest;198;4;Motunga;Polyalthia;suaveolens;2;1;1;
06/03/2018;2 ouest;198;5;Mossebe;Hunteria;ballayi;3,7;3;1;
06/03/2018;2 ouest;198;6;;Rothmannia;longiflora;4,5;2,7;1;
06/03/2018;2 ouest;198;7;Ebene;Diospyros;bipindensis;3,5;1,2;1;
06/03/2018;2 ouest;198;8;Mokula;Microdesmis;puberula;3;2,5;1;
06/03/2018;2 ouest;198;9;Toko loko ;Tabernaemonthana;penduliflora;3,5;2;1;
06/03/2018;2 ouest;198;10;Drypetes;Drypetes;capillipes;2,6;1,1;1;
06/03/2018;2 ouest;198;11;Garcinia;Garcinia;punctata;4;1,9;1;
06/03/2018;2 ouest;198;12;Toko loko ;Tabernaemonthana;penduliflora;2;1;1;
06/03/2018;2 ouest;198;13;Motunga;Polyalthia;suaveolens;3;2,5;1;
06/03/2018;2 ouest;198;14;Mossebe;Hunteria;ballayi;2;1,5;1;
06/03/2018;2 ouest;198;15;;Heisteria;pavifolia;1,9;1,1;1;
06/03/2018;2 ouest;198;16a;Ingoka;Thomondersia;hensii;7,6;7;1;
06/03/2018;2 ouest;198;16b;Ingoka;Thomondersia;hensii;5,2;3;1;
06/03/2018;2 ouest;198;17;Mossebe;Hunteria;ballayi;2,9;1,1;1;
06/03/2018;2 ouest;198;18;Drypetes;Drypetes;cinnabarina;2,6;1,1;1;
06/03/2018;2 ouest;198;19;Moungamba;Dichostemma;glauscescens;3,2;2,5;1;
06/03/2018;2 ouest;198;20;Moungamba;Dichostemma;glauscescens;3,5;1,5;1;
06/03/2018;2 ouest;198;21;Dialium;Dialium;pachyphyllum;3,5;1,7;1;
06/03/2018;2 ouest;198;22;chytranthus;chytranthus;macrobotrys;2;1;1;
06/03/2018;2 ouest;198;23;Mossebe;Hunteria;ballayi;2,2;1;1;
06/03/2018;2 ouest;198;24;Ingoka;Thomondersia;hensii;6,2;6,7;1;
06/03/2018;2 ouest;198;25;Drypetes;Drypetes;cinnabarina;2,6;1,5;1;
06/03/2018;2 ouest;198;26;Ebene;Diospyros;iturensis;4,5;2,6;1;
06/03/2018;2 ouest;198;27;Mossebe;Hunteria;ballayi;2;1,4;1;
06/03/2018;2 ouest;198;28;Mokula;Microdesmis;puberula;4;2,6;1;
06/03/2018;2 ouest;198;29;Motunga;Polyalthia;suaveolens;4,5;2,7;1;
06/03/2018;2 ouest;198;30;Ingoka;Thomondersia;hensii;5,6;5;1;
06/03/2018;2 ouest;198;31;Crabwood;Carapa;procera;13;9,1;1;
06/03/2018;2 ouest;198;32;Drypetes;Drypetes;capillipes;4,6;3,6;1;
06/03/2018;2 ouest;198;33;Ebene;Diospyros;bipindensis;4,6;2,2;1;
06/03/2018;2 ouest;198;34;Baku;Ritchiea;aprevaliana;3;1,7;1;
06/03/2018;2 ouest;198;35;Drypetes;Drypetes;diopa;4,5;1,8;1;
06/03/2018;2 ouest;198;36a;Ingoka;Thomondersia;hensii;6;6,7;1;
06/03/2018;2 ouest;198;36b;Ingoka;Thomondersia;hensii;5;4,7;1;
06/03/2018;2 ouest;198;37;Ebene;Diospyros;bipindensis;2,5;1,3;1;
06/03/2018;2 ouest;198;38;Mokula;Microdesmis;puberula;2,9;1,2;1;
06/03/2018;2 ouest;198;39;Mossebe;Hunteria;ballayi;3,5;3,4;1;
06/03/2018;2 ouest;198;40;Mossebe;Hunteria;ballayi;3;2,9;1;
06/03/2018;2 ouest;198;41;Drypetes;Drypetes;capillipes;3;2,9;1;
06/03/2018;2 ouest;198;42;Ingoka;Thomondersia;hensii;4,7;4,2;1;
06/03/2018;2 ouest;198;43;Mossebe;Hunteria;ballayi;2,7;1,7;1;
06/03/2018;2 ouest;198;44;Ebene;Diospyros;iturensis;4,5;2,3;1;
06/03/2018;2 ouest;198;45a;Mossebe;Hunteria;ballayi;2,6;1,8;1;
06/03/2018;2 ouest;198;45b;Mossebe;Hunteria;ballayi;2,5;1;1;
06/03/2018;2 ouest;198;46;Owom;Manilkara;mabokeensis;7;5,8;1;
06/03/2018;2 ouest;198;47;Drypetes;Drypetes;cinnabarina;2,5;1,9;1;
06/03/2018;2 ouest;198;48;Moungamba;Dichostemma;glauscescens;3;1,8;1;
06/03/2018;2 ouest;198;49;Ingoka;Thomondersia;hensii;7,5;7,3;1;
06/03/2018;2 ouest;198;50;Garcinia;Garcinia;punctata;4,7;3,2;1;
06/03/2018;2 ouest;198;51;Drypetes;Drypetes;cinnabarina;4,8;3,4;1;
06/03/2018;2 ouest;198;52;Toko loko ;Tabernaemonthana;penduliflora;4,9;4;1;
06/03/2018;2 ouest;198;53;Mokula;Microdesmis;puberula;3,2;3;1;
06/03/2018;2 ouest;198;54;Mossebe;Hunteria;ballayi;2;1,3;1;
06/03/2018;2 ouest;198;55;Toko loko ;Tabernaemonthana;penduliflora;2,6;1,6;1;
06/03/2018;2 ouest;198;56;Drypetes;Drypetes;capillipes;1,9;1,3;1;
06/03/2018;2 ouest;198;57;Mossebe;Hunteria;ballayi;1,9;1,3;1;
06/03/2018;2 ouest;198;58;Mossebe;Hunteria;ballayi;1,9;1,3;1;
06/03/2018;2 ouest;198;59;Toko loko ;Tabernaemonthana;penduliflora;3;2;1;
06/03/2018;2 ouest;198;60;Mokula;Microdesmis;puberula;3;2,5;1;
06/03/2018;2 ouest;198;61;Mokula;Microdesmis;puberula;2;1;1;
06/03/2018;2 ouest;198;62;Drypetes;Drypetes;cinnabarina;7,2;5,9;1;
06/03/2018;2 ouest;198;63;Moungamba;Dichostemma;glauscescens;4,7;3,7;1;
06/03/2018;2 ouest;198;64;Drypetes;Drypetes;leonensis;2,7;1;1;
06/03/2018;2 ouest;198;65;Motunga;Polyalthia;suaveolens;3,5;2,4;1;
06/03/2018;2 ouest;198;66;Ebene;Diospyros;bipindensis;3;2,3;1;
06/03/2018;2 ouest;198;67;Ingoka;Thomondersia;hensii;2;1,2;1;
06/03/2018;2 ouest;198;68a;Ingoka;Thomondersia;hensii;3,5;3,3;1;
06/03/2018;2 ouest;198;68b;Ingoka;Thomondersia;hensii;4;3,4;1;
06/03/2018;2 ouest;198;68c;Ingoka;Thomondersia;hensii;3,5;1,5;1;
06/03/2018;2 ouest;198;69;Pancovia;pancovia;pedicellaris;2,5;1,3;1;
06/03/2018;2 ouest;198;70;Mossebe;Hunteria;ballayi;2,5;1,5;1;
06/03/2018;2 ouest;198;71a;Mossebe;Hunteria;ballayi;2,6;1,6;1;
06/03/2018;2 ouest;198;71b;Mossebe;Hunteria;ballayi;2;1,5;1;
06/03/2018;2 ouest;198;72a;Garcinia;Garcinia;punctata;4,7;2,9;1;
06/03/2018;2 ouest;198;72b;Garcinia;Garcinia;punctata;3,5;1;1;
06/03/2018;2 ouest;198;73;Drypetes;Drypetes;capillipes;4,5;3,5;1;
06/03/2018;2 ouest;198;74;Baku;Ritchiea;aprevaliana;2,5;2,3;1;
06/03/2018;2 ouest;198;75;Toko loko ;Tabernaemonthana;penduliflora;2,7;2,3;1;
06/03/2018;2 ouest;198;76;Mokula;Microdesmis;puberula;2,8;2,2;1;
06/03/2018;2 ouest;198;77;Drypetes;Drypetes;polyantha;4,5;2,3;1;
06/03/2018;2 ouest;198;78;Baku;Ritchiea;aprevaliana;2,6;1,2;1;
