DATE;PARCELLE;CARRE;NUMERO;NOM VERNACULAIRE;GENRE ;ESPECE;HAUTEUR;DBH;PLACEAU
07/03/2018;2 OUEST;198;1;Cola;Cola;urceola;3,5;1,7;2
07/03/2018;2 OUEST;198;2;Moungamba;Dichostemma;glaucescens;9;9,7;2
07/03/2018;2 OUEST;198;3a;Ingoka;Thomondersia;hensii;4,4;4,3;2
07/03/2018;2 OUEST;198;3b;Ingoka;Thomondersia;hensii;3,4;3,2;2
07/03/2018;2 OUEST;198;3c;Ingoka;Thomondersia;hensii;3,4;3;2
07/03/2018;2 OUEST;198;3d;Ingoka;Thomondersia;hensii;3,5;1,5;2
07/03/2018;2 OUEST;198;4;Motunga;Polyalthia;suaveolens;2,5;1,2;2
07/03/2018;2 OUEST;198;5;Bridelia;Bridelia;artrovinidis;7,1;9,7;2
07/03/2018;2 OUEST;198;6;Toko loko;Tabernaemonthana;penduliflora;2,4;1,5;2
07/03/2018;2 OUEST;198;7;Ekoune;Coelocaryon;preussi;2;1,1;2
07/03/2018;2 OUEST;198;8;Odanga;Pteleopsis;hyloaenaron;4,1;5,1;2
07/03/2018;2 OUEST;198;9;Ebene;Diospyros;bipindensis;4,5;3,8;2
07/03/2018;2 OUEST;198;10;Ingoka;Thomondersia;hensii;2,6;2,1;2
07/03/2018;2 OUEST;198;11;Dabema;Piptadeniastrum;africana;4,6;3,8;2
07/03/2018;2 OUEST;198;12;Ingoka;Thomondersia;hensii;2,5;2,2;2
07/03/2018;2 OUEST;198;13a;Ingoka;Thomondersia;hensii;4,9;3,8;2
07/03/2018;2 OUEST;198;13b;Ingoka;Thomondersia;hensii;5,1;3,2;2
07/03/2018;2 OUEST;198;14;Ingoka;Thomondersia;hensii;4,9;2,1;2
07/03/2018;2 OUEST;198;15;Afina;Strombosia;pustulata;6,5;5,3;2
07/03/2018;2 OUEST;198;16;Assas;Macaranga;spinosa;4,5;2,7;2
07/03/2018;2 OUEST;198;17;Ohia;Celtis;mildbraedii;5,2;7,4;2
07/03/2018;2 OUEST;198;18;Synsepalum;Synsepalum;subcordatum;5;5,9;2
07/03/2018;2 OUEST;198;19;Moungamba;Dichostemma;glaucescens;3;1,2;2
07/03/2018;2 OUEST;198;20;Keza;Phyllocosmus;africanus;5,1;3,8;2
07/03/2018;2 OUEST;198;21a;Mokula;Microdesmis ;puberula;4;5,8;2
07/03/2018;2 OUEST;198;21b;Mokula;Microdesmis ;puberula;3,2;2,3;2
07/03/2018;2 OUEST;198;22;Ebene;Diospyros;bipindensis;4,5;1,4;2
07/03/2018;2 OUEST;198;23;Millettia;Millettia;sanagana;4,6;2,8;2
07/03/2018;2 OUEST;198;24;Cola;Cola;lateritia;4,5;2,9;2
07/03/2018;2 OUEST;198;25;Ebene;Diospyros;bipindensis;2,5;2,2;2
07/03/2018;2 OUEST;198;26;Albizia;Albizia;ferruginea;5;4;2
07/03/2018;2 OUEST;198;27;Bekoa bizombo;Angylocalyx;pynaertii;5,3;7;2
07/03/2018;2 OUEST;198;28;Sion;Entandrophargma;utile;2,5;1,2;2
07/03/2018;2 OUEST;198;29;Ekoune;Coelocaryon;preussi;2,5;1,6;2
07/03/2018;2 OUEST;198;30;Longhi beguei;Chysophyllum;beguei;5,2;8,9;2
07/03/2018;2 OUEST;198;31;Ingoyo;Pancovia;Laurentii;4,5;5,2;2
07/03/2018;2 OUEST;198;32;Ingoyo;Pancovia;Laurentii;4,7;6,4;2
07/03/2018;2 OUEST;198;33;Ebene;Diospyros;iturensis;3,7;2,6;2
07/03/2018;2 OUEST;198;34;Afina;Strombosia;pustulata;2,9;2,3;2
07/03/2018;2 OUEST;198;35;Mokula;Microdesmis ;puberula;1,9;1,8;2
07/03/2018;2 OUEST;198;36;Ebene;Diospyros;iturensis;6,3;6,3;2
07/03/2018;2 OUEST;198;37;Mossebe;Hunteria;ballayi;2,5;2,1;2
07/03/2018;2 OUEST;198;38;Ebene;Diospyros;bipindensis;4,5;3,8;2
07/03/2018;2 OUEST;198;39;Baku;Ritchiea;aprevaliana;3,1;1,8;2
07/03/2018;2 OUEST;198;40;;Carpolobia;alba;2,5;2,4;2
07/03/2018;2 OUEST;198;41a;Ebene;Diospyros;bipindensis;4,9;5,6;2
07/03/2018;2 OUEST;198;41b;Ebene;Diospyros;bipindensis;3,8;3;2
07/03/2018;2 OUEST;198;42;Ingoka;Thomondersia;hensii;4,5;6,3;2
07/03/2018;2 OUEST;198;43;Synsepalum;Synsepalum;longecuneatum;5,4;7,8;2
07/03/2018;2 OUEST;198;44a;Mokula;Microdesmis ;puberula;2;2,3;2
07/03/2018;2 OUEST;198;44b;Mokula;Microdesmis ;puberula;2;1,2;2
