DATE;PARCELLE;CARRE;NUMERO;NOM VERNACULAIRE;GENRE;ESPECE;HAUTEUR;BDH;PLACEAU
10/03/2018;2 EST;305;1;Mokula;Microdesmis;puberula;5;4,2;2
10/03/2018;2 EST;305;2;Essandja;Rinorea;cf welwitschii;2;2;2
10/03/2018;2 EST;305;3;Ebene;Diospyros;bipindensis;2,5;1,1;2
10/03/2018;2 EST;305;4;Essandja;Rinorea;cf welwitschii;2;1,2;2
10/03/2018;2 EST;305;5;Essandja;Rinorea;cf welwitschii;3;2,7;2
10/03/2018;2 EST;305;6;Grewia;Grewia;pinnatifida;4,5;3,8;2
10/03/2018;2 EST;305;7;Vepris;Vepris;glaberrima;3;3,2;2
10/03/2018;2 EST;305;8;Drypetes;Drypetes;polyantha;3;1,4;2
10/03/2018;2 EST;305;9;Etua;Tabernaemonthana;penduliflora;2;1;2
10/03/2018;2 EST;305;10;Mossebe;Hunteria;ballayi;2;1,3;2
10/03/2018;2 EST;305;11;Garcinia;Garcinia;punctata;4,5;2,2;2
10/03/2018;2 EST;305;12a;Mokula;Microdesmis;puberula;3,5;2,7;2
10/03/2018;2 EST;305;12b;Mokula;Microdesmis;puberula;2;2,3;2
10/03/2018;2 EST;305;13;Essandja;Rinorea;cf welwitschii;2,5;1,5;2
10/03/2018;2 EST;305;14;Ebene;Diospyros;bipindensis;2;2,7;2
10/03/2018;2 EST;305;15;Mokula;Microdesmis;puberula;1,9;2,4;2
10/03/2018;2 EST;305;16;Etua;Tabernaemonthana;penduliflora;3,6;3,3;2
10/03/2018;2 EST;305;17a;Ingoka;Thomondersia;hensii;2;3;2
10/03/2018;2 EST;305;17b;Ingoka;Thomondersia;hensii;3,5;2,2;2
10/03/2018;2 EST;305;18;Drypetes;Drypetes;capillipes;2;2,9;2
10/03/2018;2 EST;305;19;Essandja;Rinorea;cf welwitschii;4,5;3,7;2
10/03/2018;2 EST;305;20;Ebene;Diospyros;bipindensis;6;4,9;2
10/03/2018;2 EST;305;21;Essandja;Rinorea;cf welwitschii;2;1,5;2
10/03/2018;2 EST;305;22;Essandja;Rinorea;cf welwitschii;2;1,1;2
10/03/2018;2 EST;305;23;Mosseke;Cleistanthus;caudatus;4,6;3,4;2
10/03/2018;2 EST;305;24;Essandja;Rinorea;cf welwitschii;4,5;2,4;2
10/03/2018;2 EST;305;25;Essandja;Rinorea;cf welwitschii;2,9;1,9;2
10/03/2018;2 EST;305;26;Mossebe;Hunteria;ballayi;2;2,3;2
10/03/2018;2 EST;305;27;Moungamba;Dichostemma;glaucescens;5;4,9;2
10/03/2018;2 EST;305;28;Mubala;Pentaclethra;macrophylla;5,1;5,3;2
10/03/2018;2 EST;305;29;Mokula;Microdesmis;puberula;3;1,8;2
10/03/2018;2 EST;305;30;Essandja;Rinorea;cf welwitschii;3,5;3,4;2
10/03/2018;2 EST;305;31;Mokula;Microdesmis;puberula;3,7;4,8;2
10/03/2018;2 EST;305;32a;Ingoka;Thomondersia;hensii;4;4,1;2
10/03/2018;2 EST;305;32b;Ingoka;Thomondersia;hensii;2;2,3;2
10/03/2018;2 EST;305;32c;Ingoka;Thomondersia;hensii;4;1,7;2
10/03/2018;2 EST;305;32d;Ingoka;Thomondersia;hensii;4;1,2;2
10/03/2018;2 EST;305;33;Etua;Tabernaemonthana;penduliflora;3;4,1;2
