DATE;PARCELLE;CARRE;NUMERO;NOM VERNACULAIRE;GENRE ;ESPECE;HAUTEUR;DBH;PLACEAU
04/03/2018;1 ouest;114;1a;Ingoka;Thomondersia;hensii;4,5;5,4;3
04/03/2018;1 ouest;114;1b;Ingoka;Thomondersia;hensii;4,5;4,9;3
04/03/2018;1 ouest;114;2;Ingoyo;Pancovia;laurentii;4,5;3,3;3
04/03/2018;1 ouest;114;3;Toko loko;Tabernaemonthana;penduliflora;2;1,1;3
04/03/2018;1 ouest;114;4;Ingoka;Thomondersia;hensii;3,5;2,8;3
04/03/2018;1 ouest;114;5;Mubala;Pentaclethra;macrophylla;4,5;3,3;3
04/03/2018;1 ouest;114;6;Mokoula;Microdesmis ;puberula;3,5;2;3
04/03/2018;1 ouest;114;7;Mokoula;Microdesmis ;puberula;4,5;3,3;3
04/03/2018;1 ouest;114;8;Ebene;Diospyros;bipindensis;4,5;3,7;3
04/03/2018;1 ouest;114;9a;Ingoka;Thomondersia;hensii;4,5;3,7;3
04/03/2018;1 ouest;114;9b;Ingoka;Thomondersia;hensii;4,5;2,3;3
04/03/2018;1 ouest;114;9c;Ingoka;Thomondersia;hensii;3,5;2,1;3
04/03/2018;1 ouest;114;9d;Ingoka;Thomondersia;hensii;3,5;2,1;3
04/03/2018;1 ouest;114;10;Mokata;Garcinia;punctata;3;3,2;3
04/03/2018;1 ouest;114;11;Molindo;Massularia;acuminata;2;1,1;3
04/03/2018;1 ouest;114;12;Ebene;Diospyros;bipindensis;2,4;1;3
04/03/2018;1 ouest;114;13a;Millettia;Millettia;sanagana;2,5;3,2;3
04/03/2018;1 ouest;114;13b;Millettia;Millettia;sanagana;3;1;3
04/03/2018;1 ouest;114;14;Ngombe;Homalium;letestri;2,6;1,4;3
04/03/2018;1 ouest;114;15a;Ingoka;Thomondersia;hensii;3,5;4;3
04/03/2018;1 ouest;114;15b;Ingoka;Thomondersia;hensii;3;3,8;3
04/03/2018;1 ouest;114;15c;Ingoka;Thomondersia;hensii;2,4;1,9;3
04/03/2018;1 ouest;114;16;Drypetes;Drypetes;laciniata;3,5;2;3
04/03/2018;1 ouest;114;17;Ebene;Diospyros;bipindensis;2,5;1,9;3
04/03/2018;1 ouest;114;18;Ingoka;Thomondersia;hensii;4,5;4,2;3
04/03/2018;1 ouest;114;19;Moungamba;Dichostemma;glaucescens;5;5,4;3
04/03/2018;1 ouest;114;20;Ingoyo;Pancovia;harsiana;2;3,9;3
04/03/2018;1 ouest;114;21;Mounguendza;Manilkara;mabokeensii;3,5;5,1;3
04/03/2018;1 ouest;114;22;Drypetes;Drypetes;capillipes;2,6;1,5;3
04/03/2018;1 ouest;114;23;Motunga;Polyalthia;suaveolens;3;1,6;3
04/03/2018;1 ouest;114;24;Mossebe;Hunteria;ballayi;3,5;2,3;3
04/03/2018;1 ouest;114;25;Drypetes;Drypetes;capillipes;2;1,3;3
04/03/2018;1 ouest;114;26;Ohia;Celtis;mildbraedii;4,6;5,6;3
04/03/2018;1 ouest;114;27;chytranthus;chytranthus;macrobotrys;4,5;2,9;3
04/03/2018;1 ouest;114;28;Moungamba;Dichostemma;glaucescens;3;1,5;3
04/03/2018;1 ouest;114;29;Toko loko;Tabernaemonthana;penduliflora;3,5;4;3
04/03/2018;1 ouest;114;30;Millettia;Millettia;sanagana;4,2;5,6;3
04/03/2018;1 ouest;114;31;Millettia;Millettia;sanagana;6,2;3,6;3
04/03/2018;1 ouest;114;32;Scottellia;Scottellia;klaineana;4,5;2,5;3
04/03/2018;1 ouest;114;33;Baku;Ritchiea;aprevaliana;2,6;1,8;3
04/03/2018;1 ouest;114;34;Drypetes;Drypetes;capillipes;4,5;4,5;3
04/03/2018;1 ouest;114;35;Motunga;Polyalthia;suaveolens;2,5;1,2;3
04/03/2018;1 ouest;114;36a;Millettia;Millettia;sanagana;4,7;3,9;3
04/03/2018;1 ouest;114;36b;Millettia;Millettia;sanagana;3,7;1,6;3
04/03/2018;1 ouest;114;37a;Millettia;Millettia;sanagana;3,5;3,5;3
04/03/2018;1 ouest;114;37b;Millettia;Millettia;sanagana;3,7;2;3
04/03/2018;1 ouest;114;38;;Aidia;sp;3,5;1;3
04/03/2018;1 ouest;114;39;Mokula;Microdesmis ;puberula;2;1,6;3
04/03/2018;1 ouest;114;40;Ebene;Diospyros;huriensis;5;3,3;3
04/03/2018;1 ouest;114;41a;Millettia;Millettia;sanagana;4,5;3,2;3
04/03/2018;1 ouest;114;41b;Millettia;Millettia;sanagana;3,7;1,4;3
04/03/2018;1 ouest;114;42;Bekoa bezombo;Angylocalyx;pynalotii;3,5;1,6;3
04/03/2018;1 ouest;114;43;Millettia;Millettia;sanagana;2,7;1,6;3
05/03/2018;1 ouest;114;44a;Mokula;Microdesmis ;puberula;4,5;5,1;3
05/03/2018;1 ouest;114;44b;Mokula;Microdesmis ;puberula;3;1,2;3
05/03/2018;1 ouest;114;45a;Millettia;Millettia;sanagana;2,5;2;3
05/03/2018;1 ouest;114;45b;Millettia;Millettia;sanagana;3,6;2,2;3
05/03/2018;1 ouest;114;45c;Millettia;Millettia;sanagana;3;1,6;3
05/03/2018;1 ouest;114;46a;Millettia;Millettia;sanagana;4,8;3,7;3
05/03/2018;1 ouest;114;46b;Millettia;Millettia;sanagana;3,5;1,2;3
05/03/2018;1 ouest;114;47a;Millettia;Millettia;sanagana;3,5;2,6;3
05/03/2018;1 ouest;114;47b;Millettia;Millettia;sanagana;2,5;2;3
05/03/2018;1 ouest;114;47c;Millettia;Millettia;sanagana;2,6;1,4;3
05/03/2018;1 ouest;114;47d;Millettia;Millettia;sanagana;2,6;1,3;3
05/03/2018;1 ouest;114;48;Baku;Ritchiea;aprevaliana;2,6;1,7;3
05/03/2018;1 ouest;114;49;Ohia;Celtis;mildbraedii;5;5,5;3
05/03/2018;1 ouest;114;50;Ebene;Diospyros;bipindensis;4,5;4,1;3
05/03/2018;1 ouest;114;51;Baku;Ritchiea;aprevaliana;1,9;1,4;3
05/03/2018;1 ouest;114;52;Mossebe;Hunteria;ballayi;2,5;1,6;3
05/03/2018;1 ouest;114;53;Baku;Ritchiea;aprevaliana;2;1,4;3
05/03/2018;1 ouest;114;54a;Millettia;Millettia;sanagana;4,5;2,5;3
05/03/2018;1 ouest;114;54b;Millettia;Millettia;sanagana;3;2;3
05/03/2018;1 ouest;114;54c;Millettia;Millettia;sanagana;2,7;2,1;3
05/03/2018;1 ouest;114;55;Baku;Ritchiea;aprevaliana;2;1,7;3
05/03/2018;1 ouest;114;56;Millettia;Millettia;sanagana;2,5;1,4;3
05/03/2018;1 ouest;114;57;Ebene;Diospyros;huriensis;9,5;8,3;3
05/03/2018;1 ouest;114;58a;Millettia;Millettia;sanagana;4,6;3,1;3
05/03/2018;1 ouest;114;58b;Millettia;Millettia;sanagana;2,7;1,2;3
05/03/2018;1 ouest;114;59;Drypetes;Drypetes;polyantha;2;1;3
05/03/2018;1 ouest;114;60;Millettia;Millettia;sanagana;2,6;1,3;3
05/03/2018;1 ouest;114;61;Baku;Ritchiea;aprevaliana;2,8;2,4;3
05/03/2018;1 ouest;114;62;Millettia;Millettia;sanagana;3,5;1,4;3
05/03/2018;1 ouest;114;63;Millettia;Millettia;sanagana;2;1,1;3
05/03/2018;1 ouest;114;64;Dialium;Dialium ;pachyphyllum;4;4,6;3
05/03/2018;1 ouest;114;65;Baku;Ritchiea;aprevaliana;2,7;1,8;3
05/03/2018;1 ouest;114;66;Millettia;Millettia;sanagana;3;2,7;3
05/03/2018;1 ouest;114;67;Ebene;Diospyros;huriensis;2,5;2,3;3
05/03/2018;1 ouest;114;68a;Mokula;Microdesmis ;puberula;5,1;9,3;3
05/03/2018;1 ouest;114;68b;Mokula;Microdesmis ;puberula;2;1,8;3
05/03/2018;1 ouest;114;69;Ingoyo;Pancovia;harsiana;4,5;3,7;3
05/03/2018;1 ouest;114;70a;Mossebe;Hunteria;ballayi;3,5;3,6;3
05/03/2018;1 ouest;114;70b;Mossebe;Hunteria;ballayi;2,8;2,7;3
05/03/2018;1 ouest;114;71;Baku;Ritchiea;aprevaliana;2,6;1,8;3
05/03/2018;1 ouest;114;72a;Millettia;Millettia;sanagana;3,5;2,7;3
05/03/2018;1 ouest;114;72b;Millettia;Millettia;sanagana;3,8;2,5;3
05/03/2018;1 ouest;114;73;Mokula;Microdesmis ;puberula;4,5;4,2;3
05/03/2018;1 ouest;114;74;Millettia;Millettia;sanagana;2,9;2,4;3
05/03/2018;1 ouest;114;75;Mossebe;Hunteria;ballayi;2;1,2;3
05/03/2018;1 ouest;114;76;Mossebe;Hunteria;ballayi;2;2,6;3
05/03/2018;1 ouest;114;77;Ebene;Diospyros;ituriensis;3,5;2,8;3
05/03/2018;1 ouest;114;78;Ebene;Diospyros;ituriensis;3,5;1,8;3
05/03/2018;1 ouest;114;79;Moungamba;Dichostemma;glaucescens;4,6;2,4;3
05/03/2018;1 ouest;114;80;Ebene;Diospyros;bipindensis;4,9;4;3
05/03/2018;1 ouest;114;81;Motunga;Polyalthia;suaveolens;4,5;3;3
05/03/2018;1 ouest;114;82;Mokula;Microdesmis ;puberula;5,2;4,1;3
05/03/2018;1 ouest;114;83;Crabwood;Carapa;procera;4,9;2,6;3
05/03/2018;1 ouest;114;84;Ingoka;Thomondersia;hensii;5,6;6,2;3
05/03/2018;1 ouest;114;85;Mossebe;Microdesmis ;puberula;4,5;3,8;3
05/03/2018;1 ouest;114;86;Garcinia;Garcinia;smeathmannii;3,5;2,6;3
05/03/2018;1 ouest;114;87;Ingoka;Thomondersia;hensii;5,7;5;3
05/03/2018;1 ouest;114;88;Nding;Isolana;hexaloba;2;1,7;3
05/03/2018;1 ouest;114;89;Ebene;Diospyros;bipindensis;7,7;2,8;3
05/03/2018;1 ouest;114;90;Mossebe;Hunteria;ballayi;2;1,4;3
05/03/2018;1 ouest;114;91;Mosseke;Cleistanthus;caudatus;6,4;4,2;3
05/03/2018;1 ouest;114;92a;Ingoka;Thomondersia;hensii;4,9;4;3
05/03/2018;1 ouest;114;92b;Ingoka;Thomondersia;hensii;4,9;2,3;3
05/03/2018;1 ouest;114;93;Sapelli;Entandrophargma;cylindricum;2,7;2;3
05/03/2018;1 ouest;114;94;Mosseke;Cleistanthus;caudatus;2,5;1,4;3
05/03/2018;1 ouest;114;95;Moungamba;Dichostemma;glaucescens;9;8,8;3
05/03/2018;1 ouest;114;96;Moungamba;Dichostemma;glaucescens;2;2,1;3
05/03/2018;1 ouest;114;97;chytranthus;chytranthus;macrobotrys;2;2,2;3
05/03/2018;1 ouest;114;98a;Ingoka;Thomondersia;hensii;4,5;5,8;3
05/03/2018;1 ouest;114;98b;Ingoka;Thomondersia;hensii;2,6;3,8;3
05/03/2018;1 ouest;114;98c;Ingoka;Thomondersia;hensii;5,5;3,4;3
05/03/2018;1 ouest;114;99;Ndembo;Funtumia;africana;9;5,9;3
05/03/2018;1 ouest;114;100;Bekoa bezombo;Angylocalyx;pynaertii;3,5;2,1;3
05/03/2018;1 ouest;114;101;Drypetes;Drypetes;capillipes;2,9;3,7;3
05/03/2018;1 ouest;114;102;Motunga;Polyalthia;suaveolens;5,3;5,2;3
05/03/2018;1 ouest;114;103;Garcinia;Garcinia;punctata;2;2;3
05/03/2018;1 ouest;114;104;Mokula;Microdesmis ;puberula;2,6;1,6;3
05/03/2018;1 ouest;114;105;Ingoyo;Pancovia;harsiana;1,8;1,3;3
05/03/2018;1 ouest;114;106a;Ingoka;Thomondersia;hensii;5,2;3,3;3
05/03/2018;1 ouest;114;106b;Ingoka;Thomondersia;hensii;4,7;3,2;3
05/03/2018;1 ouest;114;106c;Ingoka;Thomondersia;hensii;3,3;2,2;3
05/03/2018;1 ouest;114;106d;Ingoka;Thomondersia;hensii;4,9;2,3;3
05/03/2018;1 ouest;114;106e;Ingoka;Thomondersia;hensii;4,5;1,8;3
05/03/2018;1 ouest;114;106f;Ingoka;Thomondersia;hensii;3,5;2;3
05/03/2018;1 ouest;114;106g;Ingoka;Thomondersia;hensii;2,3;1,6;3
05/03/2018;1 ouest;114;107;Moungamba;Dichostemma;glaucescens;5,3;2,9;3
05/03/2018;1 ouest;114;108;Crabwood;Carapa;procera;7,2;6,1;3
05/03/2018;1 ouest;114;109;Ingoyo;Pancovia;laurentii;2,7;2,1;3
05/03/2018;1 ouest;114;110;Mosseke;Cleistanthus;caudatus;4,8;5,7;3
05/03/2018;1 ouest;114;111;Baku;Ritchiea;aprevaliana;2;1,6;3
05/03/2018;1 ouest;114;112;;Fernandoa;adolti frederici;3,8;3,1;3
05/03/2018;1 ouest;114;113;Mossebe;Hunteria;ballayi;2,5;3;3
05/03/2018;1 ouest;114;114;Korou;Desplatsia;subericarpa;2,3;3;3
05/03/2018;1 ouest;114;115a;Ingoka;Thomondersia;hensii;4,5;3,1;3
05/03/2018;1 ouest;114;115b;Ingoka;Thomondersia;hensii;4,5;3,1;3
05/03/2018;1 ouest;114;115c;Ingoka;Thomondersia;hensii;4,5;2,6;3
05/03/2018;1 ouest;114;115d;Ingoka;Thomondersia;hensii;3,3;2,2;3
05/03/2018;1 ouest;114;116;Toko loko;Tabernaemonthana;penduliflora;4,5;4,6;3
05/03/2018;1 ouest;114;117;Mosseke;Cleistanthus;caudatus;3,5;2,6;3
05/03/2018;1 ouest;114;118;Mosseke;Cleistanthus;caudatus;4,5;2,9;3
05/03/2018;1 ouest;114;119;chytranthus;chytranthus;macrobotrys;3,9;2,4;3
05/03/2018;1 ouest;114;120;Anevout;Trichoscypha;acuminata;9,5;6,7;3
05/03/2018;1 ouest;114;121;Akeul;Pausinystalia;macroceras;2,3;1,5;3
05/03/2018;1 ouest;114;122;Synsepalum;Synsepalum;subcordatum;3,5;1,7;3
05/03/2018;1 ouest;114;123;Moungamba;Dichostemma;glaucescens;3,5;2,9;3
05/03/2018;1 ouest;114;124;Ebene;Diospyros;bipindensis;2,8;1,3;3
05/03/2018;1 ouest;114;125;Niola;Tetrorchidium;didymostenon;9,4;8,2;3
