DATE;PARCELLE;CARRE;NUMERO;NOM VERNACULAIRE;GENRE;ESPECE;HAUTEUR;DBH;PLACEAU
10/04/2018;2 OUEST;178;1;Akot;Drypetes;gossweileri;8;7,9;4
10/04/2018;2 OUEST;178;2;Essandja;Rinorea;cf welwitschii;2,4;1,4;4
10/04/2018;2 OUEST;178;3;Drypetes;Drypetes;capillipes;4,8;3,6;4
10/04/2018;2 OUEST;178;4;Ebene;Diospyros;iturensis;7,5;7,2;4
10/04/2018;2 OUEST;178;5;Mossebe;Hunteria;ballayi;3,5;3,2;4
10/04/2018;2 OUEST;178;6;Mokula;Microdesmis;puberula;3,6;2;4
10/04/2018;2 OUEST;178;7;Bosse fonce;Leplaea;thompsonii;4,8;2,8;4
10/04/2018;2 OUEST;178;8;Baku;Ritchiea;aprevaliana;2,5;1,7;4
10/04/2018;2 OUEST;178;9;Ingoka;Thomondersia;hensii;4,5;3,6;4
10/04/2018;2 OUEST;178;10;Essandja;Rinorea;cf welwitschii;4,5;3,1;4
10/04/2018;2 OUEST;178;11;Ebene;Diospyros;bipindensis;7;7,4;4
10/04/2018;2 OUEST;178;12;Essandja;Rinorea;cf welwitschii;2,8;1,1;4
10/04/2018;2 OUEST;178;13;Essandja;Rinorea;cf welwitschii;2,3;1,2;4
10/04/2018;2 OUEST;178;14;Essandja;Rinorea;cf welwitschii;5,7;5,2;4
10/04/2018;2 OUEST;178;15;Mossebe;Hunteria;ballayi;2,5;1,6;4
10/04/2018;2 OUEST;178;16;;Tricalysia;sp2;3,4;2,5;4
10/04/2018;2 OUEST;178;17;Essandja;Rinorea;cf welwitschii;2,6;1,1;4
10/04/2018;2 OUEST;178;18;Essandja;Rinorea;cf welwitschii;5;4,9;4
10/04/2018;2 OUEST;178;19;Essandja;Rinorea;cf welwitschii;2,6;1,1;4
10/04/2018;2 OUEST;178;20;Essandja;Rinorea;cf welwitschii;2,7;2,2;4
10/04/2018;2 OUEST;178;21;Essandja;Rinorea;cf welwitschii;2;1;4
10/04/2018;2 OUEST;178;22;Essandja;Rinorea;cf welwitschii;2,5;1,6;4
10/04/2018;2 OUEST;178;23;Essandja;Rinorea;cf welwitschii;4,7;4,6;4
10/04/2018;2 OUEST;178;24;Drypetes;Drypetes;cinnabarina;2,7;1,6;4
10/04/2018;2 OUEST;178;25;Drypetes;Drypetes;occidentalis;2,5;1;4
10/04/2018;2 OUEST;178;26;Ebene;Drypetes;bipindensis;6;7,5;4
10/04/2018;2 OUEST;178;27;Essandja;Rinorea;cf welwitschii;2,5;1,5;4
10/04/2018;2 OUEST;178;28;Essandja;Rinorea;cf welwitschii;2,4;1,9;4
10/04/2018;2 OUEST;178;29;Essandja;Rinorea;cf welwitschii;2,9;2,6;4
10/04/2018;2 OUEST;178;30;Essandja;Rinorea;cf welwitschii;4,9;4,9;4
10/04/2018;2 OUEST;178;31;Essandja mbongo;Rinorea;oblongifolia;4;3,1;4
10/04/2018;2 OUEST;178;32;;Aidia;micrantha;2,9;1,4;4
10/04/2018;2 OUEST;178;33;Ebene;Diospyros;bipindensis;3,9;2,1;4
10/04/2018;2 OUEST;178;34;Mosseke;Cleistanthus;caudatus;3,5;3,9;4
10/04/2018;2 OUEST;178;35;Drypetes;Drypetes;capillipes;2,4;1,4;4
10/04/2018;2 OUEST;178;36;Essandja mbongo;Rinorea;oblongifolia;3,8;3,3;4
