N°;X;circumf;Dh;Dv;L;decay;direction;trunk;hollow;date;plot;square;transect;angle;start
1;30,5;0;0;16,3;3,97;5;240;1;0;18/04/2018;2 Est;285;1;26,5;SO
2;35;0;0;35;4,3;5;95;1;0;18/04/2018;2 Est;285;1;26,5;SO
3;48;0;0;82;37;5;150;1;0;18/04/2018;2 Est;285;1;26,5;SO
4;52,5;0;0;32;2,8;5;210;1;0;18/04/2018;2 Est;285;1;26,5;SO
5;79;0;0;11,3;0,84;4;90;0;0;18/04/2018;2 Est;285;1;26,5;SO
1;80;55;17;18,3;6;4;180;0;0;18/04/2018;2 Est;285;2;296,5;SE
2;83;0;0;92,3;8,5;4;125;1;0;18/04/2018;2 Est;285;2;296,5;SE
3;89;115;34;35;7,5;5;240;0;0;18/04/2018;2 Est;285;2;296,5;SE
1;20;0;0;38,4;7;5;30;0;0;18/04/2018;2 Est;285;3;206,5;NE
2;24;0;60;52;21;5;90;1;0;18/04/2018;2 Est;285;3;206,5;NE
3;31;120,5;38;37;7,6;4;180;0;0;18/04/2018;2 Est;285;3;206,5;NE
4;35;0;0;63;19,5;2;90;1;0;18/04/2018;2 Est;285;3;206,5;NE
5;77,5;0;0;12;2,7;4;330;0;0;18/04/2018;2 Est;285;3;206,5;NE
6;98;0;0;15,2;1,25;3;150;0;0;18/04/2018;2 Est;285;3;206,5;NE
7;104;0;0;16,3;1,6;3;240;0;0;18/04/2018;2 Est;285;3;206,5;NE
8;105;0;0;15,3;0,8;3;210;0;0;18/04/2018;2 Est;285;3;206,5;NE
1;19,5;65;20;18;3,6;5;150;1;0;18/04/2018;2 Est;285;4;116,5;NO
2;21;0;0;32;1,2;5;210;0;0;18/04/2018;2 Est;285;4;116,5;NO
3;43;34;10;11;1,7;2;60;0;0;18/04/2018;2 Est;285;4;116,5;NO
