N°;X;Y;CIRCdbh ;CIRClow;CIRChigh;H;decay;crown;hollow;date;plot;square;transect;angle;start
1;34;8,6;66;0;0;4,3;5;0;0;24/03/2018;2 Ouest;178;1;26,5;SO
2;52;4,5;0;35;38;1,29;4;0;0;24/03/2018;2 Ouest;178;1;26,5;SO
3;105;6;53;0;0;1,6;5;0;0;24/03/2018;2 Ouest;178;1;26,5;SO
4;109;7;0;72;53;1,29;4;0;0;24/03/2018;2 Ouest;178;1;26,5;SO
5;111;7;135,5;0;0;26;3;1;0;24/03/2018;2 Ouest;178;1;26,5;SO
1;60;2;41;0;0;11,5;4;0;0;24/03/2018;2 Ouest;178;2;296,5;SE
2;71;2,5;68,5;0;0;6,6;4;0;0;24/03/2018;2 Ouest;178;2;296,5;SE
3;98;4;0;110;51;0,6;4;0;0;24/03/2018;2 Ouest;178;2;296,5;SE
4;100;6,9;168;0;0;19,9;5;0;0;24/03/2018;2 Ouest;178;2;296,5;SE
1;0;8;56;0;0;4,2;4;0;0;24/03/2018;2 Ouest;178;3;206,5;NE
2;39;0,5;162;0;0;35;2;1;0;24/03/2018;2 Ouest;178;3;206,5;NE
3;49;2;48,5;0;0;3,15;4;0;0;24/03/2018;2 Ouest;178;3;206,5;NE
4;50;2;75;0;0;11,5;1;1;0;24/03/2018;2 Ouest;178;3;206,5;NE
5;63;0,7;0;90;60;0,5;5;0;0;24/03/2018;2 Ouest;178;3;206,5;NE
6;72;7;46,5;0;0;5,8;5;0;0;24/03/2018;2 Ouest;178;3;206,5;NE
7;96;1,3;160,4;0;0;25;1;1;0;24/03/2018;2 Ouest;178;3;206,5;NE
1;21;8,73;111;0;0;1,9;5;0;0;24/03/2018;2 Ouest;178;4;116,5;NO
2;27;9;76,5;0;0;4,8;4;0;0;24/03/2018;2 Ouest;178;4;116,5;NO
3;35;2,4;60;0;0;5,7;5;0;0;24/03/2018;2 Ouest;178;4;116,5;NO
